지역,이름,사업자,소재지,면적,홀,구분
경기,빅토리아일반대중골프장,에스비레져,경기도 여주시 가남읍 송삼로 191,264176,9,대중제
경기,아리지 골프장,아리지,경기도 여주시 가남읍 아리지그린길 68,1229038,27,대중제
경기,이포골프장,보광개발,경기도 여주시 금사면 장흥로 416,1026137,18,회원제
경기,렉스필드 컨트리클럽,렉스필드컨트리클럽,경기도 여주시 산북면 광여로 1115,855727,18,회원제
경기,블루헤런GC,블루헤런,경기도 여주시 대신면 고달사로 67,1031817,18,회원제
경기,신라컨트리클럽,신라레저,경기도 여주시 북내면 신라그린길 84,1771487,27,대중제
경기,스카이밸리골프장,이지아이레저,경기도 여주시 북내면 운촌길 254,1048693,18,회원제
경기,캐슬파인골프클럽,캐슬파인리조트,경기도 여주시 강천면 부평로 580,1057645,18,대중제
경기,해슬리나인브릿지 컨트리클럽,CJ대한통운,경기도 여주시 명품1로 76,1147780,18,회원제
경기,세라지오GC,신한은행,경기도 여주시 여양로 530,993332,18,대중제
경기,360도 컨트리클럽,제이타우젠트,경기도 여주시 강천면 부평로 609,818914,18,대중제
경기,여주썬밸리 컨트리클럽,동광레저,경기도 여주시 강천면 강문로 872,483955,9,대중제
경기,페럼클럽,페럼인프라,경기도 여주시 점동면 점동로 181,1161205,18,대중제
경기,ROUTE52CC,케이알레저,경기도 여주시 북내면 중암1길 36,981310,18,대중제
경기,티클라우드컨트리클럽,제이레저,경기도 동두천시 평화로 3202,1258590,18,회원제
경기,썬힐GC,다함레져,경기도 가평군 조종면 운악청계로 809,1389635,36,대중제
경기,마이다스밸리 청평 골프클럽,대교디앤에스,경기도 가평군 설악면 다락재로 73-111,1078729,18,회원제
경기,프리스틴밸리 골프클럽,평산투자개발,경기도 가평군 설악면 유명로 1243-199,1156465,18,회원제
경기,아난티클럽서울,아난티클럽서울,경기도 가평군 설악면 유명로 961-34,1744453,27,회원제
경기,가평 베네스트GC,삼성물산,경기도 가평군 상면 둔덕말길 232,1707465,27,회원제
경기,크리스탈밸리CC,한송,경기도 가평군 상면 대보간선로 602-111,926085,18,회원제
경기,리앤리CC,리앤리어드바이저스,경기도 가평군 조종면 운악청계로 702-24,1372780,27,대중제
경기,베뉴지CC,부국관광,경기도 가평군 가평읍 용추로 171번길 100,1694212,27,대중제
경기,자유로컨트리클럽,백학관광개발원,경기도 연천군 백학면 노아로297번길 179-55,1385761,27,대중제
경남,창원컨트리클럽,창원컨트리클럽,창원시 의창구 대봉로 137,1048959,18,회원제
경남,용원컨트리클럽,용원개발,창원시 진해구 가주로 133,1635886,27,회원제
경남,아라미르골프앤리조트,진해오션리조트,창원시 진해구 수제로 36,1406363,36,비회원제
경남,진주컨트리클럽,진주개발,진주시 진성면 진성로 464번길 82,1068481,18,대중제
경남,통영동원로얄컨트리클럽,동원관광개발,통영시 산양읍 담안길 240,966619,18,대중제
경남,서경타니CC,타니골프엔리조트,사천시 곤양면 흥신로 210,1221929,27,대중제
경남,삼삼컨트리클럽,삼삼레져개발,사천시 축동면 화당산로 224,392688,9,대중제
경남,골프존카운티 사천,지씨사천,사천시 서포면 구송로 151,1510534,27,대중제
경남,가야컨트리클럽,가야개발,김해시 인제로 495,2822471,45,회원제
경남,김해정산컨트리클럽,정산개발,김해시 주촌면 서부로 1637번길 299-194,1514206,27,회원제
경남,포웰CC 김해,메가비엠씨,김해시 진례면 고모로 134번길 54-49,1030540,18,회원제
